id;lesson_name;start_at;end_at;day_of_week;desciption;created_at;active
1;Director benchmark standardization;2021-09-11T09:43:22;2021-09-11T11:34:40;TUESDAY;Central Naira;2021-09-11T11:32:20;true
2;Rustic Administrator;2021-09-11T11:05:55;2021-09-11T15:38:53;SATURDAY;Up-sized Facilitator;2021-09-11T07:28:42;true
3;Jewelery;2021-09-11T03:10:31;2021-09-11T07:39:27;WEDNESDAY;Soft Tennessee;2021-09-11T00:08:36;false
4;withdrawal static Integration;2021-09-11T05:52:26;2021-09-11T13:04:17;THURSDAY;AGP;2021-09-10T22:07:19;false
5;Belize withdrawal;2021-09-10T22:03:29;2021-09-11T04:00:44;THURSDAY;Paraguay synthesizing Alabama;2021-09-11T09:48:51;true
6;invoice Kansas payment;2021-09-11T01:31:46;2021-09-11T06:51:32;SATURDAY;Bedfordshire;2021-09-11T04:17:08;false
7;Dynamic Algeria;2021-09-11T06:03:28;2021-09-11T07:43:52;SATURDAY;eyeballs intuitive;2021-09-11T01:43:52;true
8;Sleek turquoise Borders;2021-09-10T16:30:29;2021-09-10T20:57:04;SUNDAY;didactic;2021-09-11T12:35:42;true
9;Garden deposit;2021-09-10T16:40:22;2021-09-10T19:11:26;SUNDAY;Pre-emptive;2021-09-11T05:10:29;false
10;up;2021-09-11T15:26:55;2021-09-11T05:40:49;WEDNESDAY;Wooden Versatile;2021-09-11T05:30:51;false
