id;lesson_name;start_at;end_at;day_of_week;description;creted_on
1;Chair full-range Rufiyaa;2021-09-13T18:24:42;2021-09-14T06:11:28;WEDNESDAY;SSL;2021-09-13T17:42:23
2;Account UAE circuit;2021-09-13T16:30:13;2021-09-13T23:08:46;MONDAY;connect Personal;2021-09-14T09:12:07
3;Lesotho;2021-09-13T23:20:30;2021-09-13T20:06:34;THURSDAY;Chief payment Engineer;2021-09-13T18:38:55
4;lavender;2021-09-13T12:32:33;2021-09-14T07:41:44;FRIDAY;Soft Industrial;2021-09-13T16:17:54
5;deposit Savings Manager;2021-09-14T02:03:07;2021-09-14T05:31:35;SATURDAY;circuit white;2021-09-13T12:30:27
6;Customer best-of-breed mobile;2021-09-14T10:55:26;2021-09-14T03:10:04;SUNDAY;morph;2021-09-14T05:06:05
7;Optional Manager;2021-09-13T20:18:17;2021-09-14T03:56:31;SUNDAY;synthesize;2021-09-13T19:39:39
8;invoice copying;2021-09-14T07:19:47;2021-09-14T10:25:09;TUESDAY;Account Forint;2021-09-13T15:25:28
9;haptic;2021-09-14T03:58:55;2021-09-13T22:14:39;SATURDAY;Spur digital;2021-09-13T20:06:25
10;connect Drive Riel;2021-09-13T19:28:38;2021-09-13T19:52:30;MONDAY;Orchestrator Strategist;2021-09-13T13:02:50
