id;date_of_lesson;pay;attended;created_on;updated_on
1;2021-09-11T23:54:51;50377;true;2021-09-12T03:34:29;2021-09-11T21:49:41
2;2021-09-12T09:43:01;90125;false;2021-09-11T23:06:23;2021-09-12T05:25:52
3;2021-09-11T17:02:22;36104;true;2021-09-11T13:25:43;2021-09-12T02:12:14
4;2021-09-12T07:08:21;17731;false;2021-09-12T08:01:04;2021-09-12T11:27:32
5;2021-09-12T06:40:21;44278;true;2021-09-11T23:44:26;2021-09-12T04:04:34
6;2021-09-11T18:58:36;30264;false;2021-09-11T16:10:40;2021-09-11T22:23:24
7;2021-09-11T20:24:31;80537;true;2021-09-11T23:51:05;2021-09-12T06:10:47
8;2021-09-12T00:40:40;75396;false;2021-09-11T15:58:30;2021-09-12T05:31:23
9;2021-09-11T14:56:20;30325;true;2021-09-12T06:46:35;2021-09-11T16:21:44
10;2021-09-11T23:16:50;66981;true;2021-09-11T22:47:46;2021-09-12T02:14:56
